80
415,33
318,99
413,117
492,54
355,60
239,102
428,105
368,81
351,89
136,55
135,80
404,48
333,109
464,60
324,88
373,87
362,80
363,90
356,59
388,90
403,105
429,84
121,79
205,70
434,76
406,38
458,46
217,39
460,48
280,50
433,106
388,39
302,38
116,85
427,89
279,117
489,82
104,52
470,71
391,62
317,120
166,56
203,86
481,41
157,68
372,59
301,120
498,115
445,71
182,71
303,31
279,93
175,46
294,89
417,62
148,85
142,40
454,76
361,73
201,66
234,57
487,88
272,79
499,77
112,73
215,99
184,55
266,87
169,106
121,42
459,104
161,99
323,59
473,99
270,69
247,36
401,73
487,32
213,75
276,96
