70
295,73
425,112
340,35
297,118
305,99
270,57
160,93
198,85
212,95
262,69
421,45
383,102
154,86
433,73
387,54
359,101
356,55
481,41
455,34
401,46
265,64
429,94
212,119
253,80
269,51
461,97
205,103
459,112
155,71
321,49
229,109
180,49
453,46
277,45
247,78
266,57
134,35
175,73
166,113
375,115
240,95
306,66
467,112
306,49
139,109
289,111
251,115
405,85
173,34
131,105
179,82
474,101
449,112
144,66
341,48
500,98
401,81
347,68
417,45
490,98
300,53
210,46
491,54
276,107
212,93
283,114
422,103
121,92
462,54
118,60
