100
141,119
365,52
254,63
483,46
243,95
107,56
380,90
248,36
206,41
214,73
130,42
128,96
384,44
253,53
204,39
144,93
473,52
463,79
107,37
445,89
180,66
437,55
141,64
305,86
479,115
399,31
267,44
154,34
493,78
263,107
373,43
222,106
243,43
249,55
499,96
261,76
379,71
125,117
456,94
194,44
328,113
173,65
333,106
309,39
245,85
287,95
328,69
330,64
220,111
430,73
285,32
260,60
436,33
176,46
430,34
183,56
173,81
429,73
148,111
298,98
322,111
472,113
243,113
490,109
443,79
255,96
253,69
258,115
194,58
196,69
330,62
464,38
157,44
307,96
413,40
251,100
342,88
150,32
288,112
201,44
155,96
343,86
399,113
205,31
285,53
225,44
342,42
369,97
405,109
422,102
264,103
406,36
216,118
316,47
127,58
453,67
326,101
457,69
260,56
188,116
