2021-06-01;D-5;46
2021-06-01;F-2;38
2021-06-01;B-5;26
2021-06-02;D-3;16
2021-06-02;C-3;1
2021-06-02;A-2;27
2021-06-02;B-2;24
2021-06-03;A-2;43
2021-06-03;C-1;9
2021-06-03;C-4;45
2021-06-03;D-6;7
2021-06-03;B-1;13
2021-06-03;A-1;12
2021-06-03;F-5;43
2021-06-04;F-4;2
2021-06-04;D-6;5
2021-06-04;B-6;32
2021-06-04;B-4;23
2021-06-04;F-4;39
2021-06-04;C-2;23
2021-06-05;F-1;26
2021-06-05;C-6;22
2021-06-05;E-1;17
2021-06-05;A-5;4
2021-06-06;C-4;26
2021-06-07;A-6;25
2021-06-07;E-6;19
2021-06-07;B-1;8
2021-06-08;F-6;12
2021-06-08;F-2;31
2021-06-08;B-6;28
2021-06-08;B-4;40
2021-06-08;F-1;13
2021-06-08;A-1;38
2021-06-09;C-5;44
2021-06-09;F-1;17
2021-06-09;A-1;16
2021-06-10;A-1;42
2021-06-10;D-2;14
2021-06-10;D-1;39
2021-06-10;D-6;46
2021-06-10;E-5;22
2021-06-10;C-1;11
2021-06-11;D-5;33
2021-06-11;F-5;9
2021-06-11;C-2;31
2021-06-11;D-5;1
2021-06-12;E-1;45
2021-06-12;A-2;8
2021-06-12;E-1;5
2021-06-12;F-1;11
2021-06-12;F-2;39
2021-06-12;F-3;24
2021-06-13;A-5;43
2021-06-13;C-4;22
2021-06-13;D-4;5
2021-06-13;F-1;25
2021-06-13;F-2;29
2021-06-13;F-4;8
2021-06-13;B-5;21
2021-06-14;A-2;15
2021-06-14;F-4;1
2021-06-14;D-5;35
2021-06-14;F-3;1
2021-06-14;E-1;19
2021-06-15;F-2;18
2021-06-15;F-6;7
2021-06-15;F-6;10
2021-06-15;E-5;45
2021-06-16;C-3;34
2021-06-16;C-2;18
2021-06-16;A-2;28
2021-06-16;E-4;13
2021-06-17;F-1;44
2021-06-17;C-2;1
2021-06-17;D-5;42
2021-06-17;F-2;5
2021-06-17;D-4;10
2021-06-17;A-2;9
2021-06-17;E-5;8
2021-06-17;D-1;24
2021-06-18;F-3;11
2021-06-18;A-5;11
2021-06-18;E-1;38
2021-06-18;F-2;18
2021-06-18;E-5;3
2021-06-18;E-4;32
2021-06-18;E-6;41
2021-06-19;A-1;3
2021-06-19;A-6;3
2021-06-19;B-4;21
2021-06-19;D-6;22
2021-06-19;D-3;26
2021-06-20;D-5;13
2021-06-20;A-2;15
2021-06-20;B-3;30
2021-06-20;A-2;21
2021-06-20;F-1;31
2021-06-20;B-1;22
2021-06-20;B-2;40
2021-06-20;D-2;9
2021-06-21;C-3;41
2021-06-21;E-3;18
2021-06-21;F-1;16
2021-06-21;B-5;46
2021-06-22;C-1;16
2021-06-22;C-4;18
2021-06-23;D-5;45
2021-06-23;B-3;42
2021-06-23;E-5;10
2021-06-23;E-2;18
2021-06-23;E-3;29
2021-06-23;F-2;2
2021-06-23;F-3;30
2021-06-24;E-3;34
2021-06-24;E-2;25
2021-06-24;C-6;32
2021-06-24;F-5;39
2021-06-24;E-6;39
2021-06-24;E-2;4
2021-06-24;E-1;36
2021-06-25;F-2;37
2021-06-25;F-6;25
2021-06-25;D-6;37
2021-06-25;D-6;29
2021-06-26;C-2;25
2021-06-26;F-1;7
2021-06-26;A-2;14
2021-06-26;A-3;45
2021-06-26;B-1;31
2021-06-26;B-5;23
2021-06-26;C-4;39
2021-06-27;F-2;1
2021-06-27;B-2;5
2021-06-27;D-4;28
2021-06-27;B-1;43
2021-06-27;E-5;46
2021-06-28;D-2;43
2021-06-28;A-5;3
2021-06-28;D-1;27
2021-06-28;C-3;42
2021-06-29;E-2;3
2021-06-29;B-6;1
2021-06-30;D-4;46
2021-06-30;B-1;4
2021-06-30;E-5;3
2021-06-30;D-1;12
2021-06-30;C-3;16
2021-06-30;E-6;6
2021-06-30;B-6;14
