A;1;15 
A;2;18 
A;3;68 
A;4;15 
A;5;101 
A;6;40 
A;7;14 
A;8;19 
A;9;74 
B;1;70 
B;2;7 
B;3;23 
B;4;11 
B;5;105 
B;6;4 
B;7;13 
B;8;24 
B;9;7 
C;1;23 
C;2;10 
C;3;103 
C;4;17 
C;5;9 
C;6;24 
C;7;115 
C;8;27 
C;9;111 
D;1;43 
D;2;6 
D;3;44 
D;4;32 
D;5;77 
D;6;39 
D;7;43 
D;8;19 
D;9;81 
E;1;54 
E;2;21 
E;3;93 
E;4;24 
E;5;24 
E;6;23 
E;7;23 
E;8;24 
E;9;80 
F;1;55 
F;2;23 
F;3;12 
F;4;35 
F;5;86 
F;6;18 
F;7;35 
F;8;38 
F;9;41 
G;1;78 
G;2;39 
G;3;50 
G;4;1 
G;5;39 
G;6;26 
G;7;107 
G;8;15 
G;9;111 
H;1;104 
H;2;13 
H;3;93 
H;4;30 
H;5;114 
H;6;15 
H;7;115 
H;8;33 
H;9;18 
